"Rest Of State Violent and Disruptive Incidents 2008-09 (weighted incident headings are shaded)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"***In a small number of incidents, a school's School Violence Index (SVI) may have been adjusted as a result of a VADIR reconciliation and/or Weighted Incident Exclusion Process (WIEP). The SVI is comparative measure of the level of violence in a school.  The SVI is computed in accordance with a formula established by the Commissioner that takes into account the enrollment of the school and is weighted to reflect the most serious violent incidents.  The VADIR reconciliation is a multi-step process that it used to ensure that VADIR data submitted by the school is accurate. The WIEP is the process by which a school district demonstrates to SED that one or more of its schools should not be designated as persistently dangerous because some or all of the violent incidents it reported on the Violent and Disruptive Incident Report (VADIR) summary form were allegedly directly related to a student offender's disability.  There are also additional WIEP requirements that a school district must satisfy before SED will adjust a school's SVI.  More information regarding the VADIR reconciliation and/or WIEP is available upon request.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BEDS Code","School Name","District Name","School Type","Enrollment","Homicide","","Forcible Sex Offenses","","Other Sex Offenses","","Robbery","","Assault With Serious Physical Injury","","Arson","Kidnapping","","Assault with Physical Injury","","Reckless Endangerment","","Minor Altercations","","Intimidation, Harassment, Menacing, or Bullying","","Burglary","","Criminal Mischief","","Larceny, or Other Theft","","Bomb Threat","False Alarm","Riot","","Weapon Possession","","Drug Possession","Alcohol Possession","Other Disruptive"
"","","","","","With Weapon(s)","Without Weapon(s)","With Weapon(s)","Without Weapon(s)","With Weapon(s)","Without Weapon(s)","With Weapon(s)","Without Weapon(s)","With Weapon(s)","Without Weapon(s)","With Weapon(s)","With Weapon(s)","Without Weapon(s)","With Weapon(s)","Without Weapon(s)","With Weapon(s)","Without Weapon(s)","With Weapon(s)","Without Weapon(s)","With Weapon(s)","Without Weapon(s)","With Weapon(s)","Without Weapon(s)","With Weapon(s)","Without Weapon(s)","With Weapon(s)","Without Weapon(s)","","","With Weapon(s)","Without Weapon(s)","Through Screening","Under Other Circumstances","","",""
"010100010014","Montessori Magnet School","Albany City School District","Public","312.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","10.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0"
"010100010016","Pine Hills Elementary School","Albany City School District","Public","327.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","0.0","0.0","0.0","75.0","0.0","9.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","3.0","0.0","0.0","8.0"
"010100010018","Delaware Community School","Albany City School District","Public","396.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","7.0","0.0","8.0","0.0","41.0","1.0","4.0","0.0","0.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3.0","0.0","0.0","38.0"
"010100010019","New Scotland Elementary School","Albany City School District","Public","351.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0"
"010100010020","North Albany Academy","Albany City School District","Public","401.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","36.0","0.0","28.0","0.0","0.0","0.0","1.0","0.0","3.0","0.0","0.0","0.0","0.0","0.0","2.0","1.0","0.0","97.0"
"010100010023","Albany School Of Humanities","Albany City School District","Public","501.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","23.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","2.0","1.0","0.0","0.0","9.0"
"010100010027","Eagle Point Elementary School","Albany City School District","Public","195.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","11.0","0.0","1.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.0"
"010100010028","Thomas S O'Brien Academy Of Science & Technology","Albany City School District","Public","437.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","0.0","0.0","0.0","45.0","0.0","3.0","0.0","0.0","0.0","1.0","0.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","10.0"
"010100010029","Giffen Memorial Elementary School","Albany City School District","Public","392.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","26.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","18.0"
"010100010030","William S Hackett Middle School","Albany City School District","Public","470.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.0","0.0","1.0","0.0","196.0","0.0","46.0","0.0","0.0","0.0","3.0","0.0","4.0","0.0","0.0","0.0","0.0","0.0","7.0","1.0","1.0","1050.0"
"010100010034","Albany High School","Albany City School District","Public","2668.0","0.0","0.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","6.0","1.0","1.0","0.0","70.0","0.0","96.0","0.0","0.0","0.0","8.0","0.0","0.0","0.0","8.0","0.0","0.0","31.0","15.0","11.0","0.0","1095.0"
"010100010039","Arbor Hill Elementary School","Albany City School District","Public","267.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","0.0","22.0","1.0","27.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","17.0"
"010100010043","Philip J Schuyler Achievement Academy","Albany City School District","Public","310.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","26.0"
"010100010044","Sheridan Preparatory Academy","Albany City School District","Public","350.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3.0","0.0","0.0","0.0","51.0","0.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3.0","1.0","0.0","26.0"
"010100010045","Stephen And Harriet Myers Middle School","Albany City School District","Public","543.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","110.0","0.0","34.0","0.0","0.0","0.0","2.0","0.0","1.0","0.0","1.0","0.0","0.0","3.0","2.0","4.0","2.0","204.0"
"010100860005","New Covenant Charter School","","Charter","634.0","0.0","0.0","0.0","0.0","0.0","3.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","0.0","41.0","0.0","2.0","0.0","0.0","0.0","7.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","5.0","0.0","0.0","148.0"
"010100860829","Brighter Choice Charter School For Boys","","Charter","217.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","8.0","0.0","19.0","0.0","151.0","0.0","1.0","0.0","0.0","0.0","5.0","0.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3.0"
"010100860830","Brighter Choice School For Girls","","Charter","226.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","6.0","50.0","0.0","4.0","0.0","0.0","0.0","1.0","0.0","13.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","18.0"
