Rest of State Violent and Disruptive Incidents 2010-2011 (violent incident headings are shaded),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"***In a small number of incidents, a school's School Violence Index (SVI) may have been adjusted as a result of a VADIR reconciliation and/or Weighted Incident Exclusion Process (WIEP). The SVI is comparative measure of the level of violence in a school.  The SVI is computed in accordance with a formula established by the Commissioner that takes into account the enrollment of the school and is weighted to reflect the most serious violent incidents.  The VADIR reconciliation is a multi-step process that it used to ensure that VADIR data submitted by the school is accurate. The WIEP is the process by which a school district demonstrates to SED that one or more of its schools should not be designated as persistently dangerous because some or all of the violent incidents it reported on the Violent and Disruptive Incident Report (VADIR) summary form were allegedly directly related to a student offender's disability.  There are also additional WIEP requirements that a school district must satisfy before SED will adjust a school's SVI.  More information regarding the VADIR reconciliation and/or WIEP is available upon request.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
County,District,School,BEDS Code,Grade Organization,Need/Resource Category,School Type,Enrollment,Homicide,,Forcible Sex Offenses,,Other Sex Offenses,,Robbery,,Assault With Serious Physical Injury,,Arson,Kidnapping,,Assault with Physical Injury,,Reckless Endangerment,,Minor Altercations,,"Intimidation, Harassment, Menacing, or Bullying",,Burglary,,Criminal Mischief,,"Larceny, or Other Theft",,Bomb Threat,False Alarm,Riot,,Weapon Possession,,Drug Possession,Alcohol Possession,Other Disruptive
,,,,,,,,With Weapon(s),Without Weapon(s),With Weapon(s),Without Weapon(s),With Weapon(s),Without Weapon(s),With Weapon(s),Without Weapon(s),With Weapon(s),Without Weapon(s),With Weapon(s),With Weapon(s),Without Weapon(s),With Weapon(s),Without Weapon(s),With Weapon(s),Without Weapon(s),With Weapon(s),Without Weapon(s),With Weapon(s),Without Weapon(s),With Weapon(s),Without Weapon(s),With Weapon(s),Without Weapon(s),With Weapon(s),Without Weapon(s),,,With Weapon(s),Without Weapon(s),Through Screening,Under Other Circumstances,,,
ALBANY,,Achievement Academy Charter School,010100860876,Middle School,Charter School,Charter School,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,5,0,0,0,2,0,1,0,0,0,0,0,0,0,0,50
ALBANY,,Albany Community Charter School,010100860899,Elementary,Charter School,Charter School,296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,7
ALBANY,,Albany Leadership Charter High School For Girls,010100860960,Senior High,Charter School,Charter School,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ALBANY,,Albany Preparatory Charter School,010100860884,Middle School,Charter School,Charter School,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,68,0,6,0,0,0,2,0,1,0,2,0,0,0,2,0,1,80
ALBANY,,Brighter Choice Charter Middle School For Boys,010100860976,Elementary,Charter School,Charter School,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
ALBANY,,Brighter Choice Charter Middle School For Girls,010100860977,Elementary,Charter School,Charter School,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41
ALBANY,,Brighter Choice Charter School For Boys,010100860829,Elementary,Charter School,Charter School,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,38
ALBANY,,Brighter Choice Charter School For Girls,010100860830,Elementary,Charter School,Charter School,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,44,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,92
ALBANY,,Green Tech High Charter School,010100860907,Senior High,Charter School,Charter School,263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,178
ALBANY,,Henry Johnson Charter School,010100860892,Elementary,Charter School,Charter School,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
ALBANY,,Kipp Tech Valley Charter School,010100860867,Middle School,Charter School,Charter School,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,1,0,0,0,0,0,4,0,0,44
ALBANY,Albany City School District,Albany High School,010100010034,Junior Senior School,Urban/Suburban High Needs,Public,2507,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,4,0,72,0,24,0,0,0,10,0,11,0,2,0,0,18,8,22,6,577
ALBANY,Albany City School District,Albany School Of Humanities,010100010023,Elementary,Urban/Suburban High Needs,Public,562,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,6,0,24,0,9,0,0,0,1,0,1,0,0,0,0,1,0,0,0,32
ALBANY,Albany City School District,Arbor Hill Elementary School,010100010039,Elementary,Urban/Suburban High Needs,Public,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11
ALBANY,Albany City School District,Delaware Community School,010100010018,Elementary,Urban/Suburban High Needs,Public,418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,14,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,34
ALBANY,Albany City School District,Eagle Point Elementary School,010100010027,Elementary,Urban/Suburban High Needs,Public,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,7,0,0,0,0,0,0,0,0,0,0,0,1,1,0,33
ALBANY,Albany City School District,Giffen Memorial Elementary School,010100010029,Elementary,Urban/Suburban High Needs,Public,453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,6,1,2,0,0,0,0,0,0,0,1,0,0,0,4,0,0,13
ALBANY,Albany City School District,Montessori Magnet School,010100010014,Elementary,Urban/Suburban High Needs,Public,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,5
ALBANY,Albany City School District,New Scotland Elementary School,010100010019,Elementary,Urban/Suburban High Needs,Public,484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
ALBANY,Albany City School District,North Albany Academy,010100010020,Elementary,Urban/Suburban High Needs,Public,407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,56,0,22,0,0,0,1,0,3,0,1,0,0,0,0,2,2,85
ALBANY,Albany City School District,Philip J Schuyler Achievement Academy,010100010043,Elementary,Urban/Suburban High Needs,Public,359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,40
ALBANY,Albany City School District,Pine Hills Elementary School,010100010016,Elementary,Urban/Suburban High Needs,Public,390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,20
ALBANY,Albany City School District,Sheridan Preparatory Academy,010100010044,Elementary,Urban/Suburban High Needs,Public,423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,7,0,0,69
ALBANY,Albany City School District,Stephen And Harriet Myers Middle School,010100010045,Middle School,Urban/Suburban High Needs,Public,661,0,0,0,0,0,1,0,0,0,3,0,0,0,0,8,0,3,0,134,0,46,0,0,0,5,0,6,1,5,0,0,10,4,5,0,521
ALBANY,Albany City School District,Thomas S O'Brien Academy Of Science & Technology,010100010028,Elementary,Urban/Suburban High Needs,Public,451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,21,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,12
ALBANY,Albany City School District,William S Hackett Middle School,010100010030,Middle School,Urban/Suburban High Needs,Public,576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,111,1,44,0,0,0,0,0,2,0,0,0,0,2,3,1,0,481
ALBANY,Berne-Knox-Westerlo Central School District,Berne-Knox-Westerlo Elementary School,010201040002,Elementary,Average Needs,Public,419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALBANY,Berne-Knox-Westerlo Central School District,Berne-Knox-Westerlo Junior-Senior High School,010201040001,Junior Senior School,Average Needs,Public,535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,9,0,0,0,0,0,0,0,0,0,0,0,5,7,2,8
ALBANY,Bethlehem Central School District,Bethlehem Central Middle School,010306060007,Middle School,Low Needs,Public,1193,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ALBANY,Bethlehem Central School District,Bethlehem Central Senior High School,010306060008,Senior High,Low Needs,Public,1695,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,8,0,13,0,5,0,3,0,0,0,0,0,0,0,0,11,0,9
ALBANY,Bethlehem Central School District,Clarksville Elementary School,010306060001,Elementary,Low Needs,Public,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALBANY,Bethlehem Central School District,Eagle Elementary School,010306060009,Elementary,Low Needs,Public,399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALBANY,Bethlehem Central School District,Elsmere Elementary School,010306060003,Elementary,Low Needs,Public,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALBANY,Bethlehem Central School District,Glenmont Elementary School,010306060004,Elementary,Low Needs,Public,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALBANY,Bethlehem Central School District,Hamagrael Elementary School,010306060005,Elementary,Low Needs,Public,398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALBANY,Bethlehem Central School District,Slingerlands Elementary School,010306060006,Elementary,Low Needs,Public,451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALBANY,Cohoes City School District,Abram Lansing School,010500010005,Elementary,Urban/Suburban High Needs,Public,407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
ALBANY,Cohoes City School District,Cohoes High School,010500010007,Senior High,Urban/Suburban High Needs,Public,636,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,20,0,54,0,0,0,2,0,4,1,0,0,0,0,2,3,0,184
ALBANY,Cohoes City School District,Cohoes Middle School,010500010008,Middle School,Urban/Suburban High Needs,Public,423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,22,0,0,0,0,0,3,0,0,0,0,0,2,0,1,70
ALBANY,Cohoes City School District,Harmony Hill School,010500010009,Elementary,Urban/Suburban High Needs,Public,391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
ALBANY,Cohoes City School District,Van Schaick Island School,010500010006,Elementary,Urban/Suburban High Needs,Public,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
ALBANY,Green Island Union Free School District,Heatly School,010701030001,K-12 School,Urban/Suburban High Needs,Public,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,8,0,5,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
ALBANY,Guilderland Central School District,Altamont Elementary School,010802060001,Elementary,Low Needs,Public,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
ALBANY,Guilderland Central School District,Farnsworth Middle School,010802060008,Middle School,Low Needs,Public,1236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,0,0,0,0,0,2,0,0,0,0,0,1,1,0,1
ALBANY,Guilderland Central School District,Guilderland Elementary School,010802060003,Elementary,Low Needs,Public,559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
